"אינדקס","מקור","תרגום","הערות"
"0","a | all | an | another | antique | around | at | down | every | first | for | from | gingerbread | guess | hollow | i | in | into | is | little | me | now | of | off | old | on | out | over | please | second | sir | some | that | the | these | third | this | those | through | to | under | up | will | with | you | your","ה | כל | עוד | נוסף | עתיק | מסביב | ב | למטה | כל | ראשון | עבור | מ | זיגוג | נחש | חלול | אני | ב | לתוך | הוא | קטן | אותי | עכשיו | של | מכובה | ישן | על | החוצה | מעל | בבקשה | שני | אדון | קצת | זה | ה | אלה | שלישי | זה | אלה | דרך | ל | מתחת | למעלה | יהיה | עם | אתה | שלך | בתוך | לתוך | את | אל",""
"1","anyword","anyword",""
"2","check | examine | look | see","לבחון | לראות | בדוק | ראה | התבונן | בחן | הסתכל | הבט",""
"3","swim | swimming | wade | wading","לשחות | שחייה | השכשוך | שחה | השתכשך",""
"4","enter | go","להיכנס | ללכת | כנס | לך | להכנס",""
"5","acquire | get | pick | pluck | rob | swipe | take","לרכוש | לקבל | לקטוף | לקחת | קח | השג | להשיג | לתלוש | הרם | קטוף | תלוש",""
"6","climb | scale","טפס | לטפס",""
"7","play","נגן | לנגן",""
"8","grass | ground","דשא | אדמה",""
"9","tree | trees","עץ | עצים",""
"10","moat","חפיר | תעלה | מהתעלה | מהחפיר | מתעלה | מחפיר",""
"11","bush | bushes | plants | shrub | shrubs","צמח | צמחים | שיח | שיחים",""
"12","alligator | alligators","תנין | תנינים",""
"13","speak | talk","לשוחח | לדבר | דבר",""
"14","find | locate","למצוא | לאתר",""
"15","smell | sniff","להריח | להרחה",""
"16","blossom | blossoms | flower | flowers","פריחה | פריחות | פרח | פרחים",""
"17","douse","לכבות",""
"18","stand | stand up","לעמוד | לקום",""
"19","open","לפתוח | פתח",""
"20","break | smash","לשבור | לרסק",""
"21","building | castle | cottage | fort | house | leanto | palace | tower","בניין | טירה | בקתה | מבצר | בית | צריף | ארמון | מגדל",""
"22","door | doors","דלת | דלתות",""
"23","dragon","דרקון",""
"24","dagger | knife","פגיון | סכין",""
"25","show","להראות| הראה",""
"26","tp","טלפורט",""
"27","broth | chicken broth | chicken soup | soup","מרק | מרק עוף | מרק עוף | מרק",""
"28","close | shut","לסגור | סגור",""
"29","torch | torches","לפיד | לפידים",""
"30","capture | catch","ללכוד | לתפוס",""
"31","restart","להתחיל מחדש | אתחל",""
"32","kneel","לכרוע",""
"33","chasm","תהום",""
"34","bucket | pail","סל | דלי",""
"35","drink","לשתות | משקה",""
"36","mirror","מראה",""
"37","boulder | boulders | rock | rocks",סלע | סלעים | סלע | סלעים | בולדר,""
"38","doorway | hole | holes | opening","חור | חורים | בור",""
"39","dive","צלול",""
"40","give | offer | present","לתת | להציע | להביא | תן | הבא | הצע",""
"41","jewelry","תכשיטים",""
"42","kiss","לנשק",""
"43","hug","לחבק",""
"44","quit","לצאת",""
"45","pos | position","מיקום | מיקום",""
"46","treasure","אוצר",""
"47","cattails","עשב מים | עשב | קני סוף | קנים | עשבים | גבעולים | סוף",""
"48","lion | lions","אריה | אריות",""
"49","object","חפץ",""
"50","thorns","קוצים",""
"51","bag | bag of jewels | pouch","תיק | תיק תכשיטים | כיס | שקית | שק | ארנק",""
"52","pet","ללטף | לטף",""
"53","island","אי",""
"54","kill | murder","להרוג | לרצוח",""
"55","banner | banners | flag | flags","כרזה | כרזות | דגל | דגלים",""
"56","waterfall","מפל מים | מפל",""
"57","sign","שלט",""
